;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;FGVDADOS - 12/11/2023 11:11:56;;;;;
;;;;;;
LEGENDA;;;;;;
Série;Título;Código;Fonte;Unidade;Fator de escala;Base do No. índice
1;Energia Elétrica, Consumo Industrial Brasil(53778);53778;EPE;GWH;?;--
2;Energia Elétrica, Consumo Industrial Brasil(53778) (Variação Percentual em Relação ao Período Anterior);53778;;;;--
3;Energia Elétrica, Consumo Total Brasil(210873);210873;EPE;GWH;?;--
4;Energia Elétrica, Consumo Total Brasil(210873) (Variação Percentual em Relação ao Período Anterior);210873;;;;--
;;;;;;
03/2007;14276;4,33;31468;3,27;;
04/2007;14511;1,65;32184;2,28;;
05/2007;14557;0,32;31519;-2,07;;
06/2007;14582;0,17;30901;-1,96;;
07/2007;14569;-0,09;30639;-0,85;;
08/2007;14860;2;31321;2,23;;
09/2007;14866;0,04;31874;1,77;;
10/2007;14952;0,58;32271;1,25;;
11/2007;15025;0,49;32792;1,61;;
12/2007;14892;-0,89;32446;-1,06;;
01/2008;13793;-7,38;32022;-1,31;;
02/2008;13966;1,25;31882;-0,44;;
03/2008;14654;4,93;32274;1,23;;
04/2008;14525;-0,88;32099;-0,54;;
05/2008;14791;1,83;32440;1,06;;
06/2008;14780;-0,07;31885;-1,71;;
07/2008;15154;2,53;32294;1,28;;
08/2008;15411;1,7;33161;2,68;;
09/2008;15180;-1,5;33106;-0,17;;
10/2008;15386;1,36;33815;2,14;;
11/2008;14773;-3,98;33553;-0,77;;
12/2008;13417;-9,18;31719;-5,47;;
01/2009;11923;-11,14;30829;-2,81;;
02/2009;12337;3,47;30662;-0,54;;
03/2009;13049;5,77;32140;4,82;;
04/2009;13199;1,15;32201;0,19;;
05/2009;12976;-1,69;31089;-3,45;;
06/2009;13216;1,85;30860;-0,74;;
07/2009;13610;2,98;31476;2;;
08/2009;14061;3,31;32421;3;;
09/2009;14227;1,18;32865;1,37;;
10/2009;14551;2,28;33564;2,13;;
11/2009;14415;-0,93;33772;0,62;;
12/2009;14228;-1,3;34286;1,52;;
01/2010;13424;-5,65;33548;-2,15;;
02/2010;14077;4,86;33916;1,1;;
03/2010;14765;4,89;35294;4,06;;
04/2010;14921;1,06;35188;-0,3;;
05/2010;15025;0,7;34449;-2,1;;
06/2010;15179;1,02;34323;-0,37;;
07/2010;15303;0,82;34008;-0,92;;
08/2010;15456;1;34879;2,56;;
09/2010;15405;-0,33;35338;1,32;;
10/2010;15434;0,19;35341;0,01;;
11/2010;15316;-0,76;35232;-0,31;;
12/2010;15168;-0,97;36123;2,53;;
01/2011;14467;-4,62;36072;-0,14;;
02/2011;14486;0,13;35640;-1,2;;
03/2011;15188;4,85;36527;2,49;;
04/2011;15334;0,96;36216;-0,85;;
05/2011;15254;-0,52;35723;-1,36;;
06/2011;15387;0,87;35322;-1,12;;
07/2011;15435;0,31;35595;0,77;;
08/2011;15853;2,71;36508;2,56;;
09/2011;15731;-0,77;37129;1,7;;
10/2011;15670;-0,39;36903;-0,61;;
11/2011;15484;-1,19;36530;-1,01;;
12/2011;15282;-1,3;36923;1,08;;
01/2012;14567;-4,68;36492;-1,17;;
02/2012;15059;3,38;37109;1,69;;
03/2012;15578;3,45;38841;4,67;;
04/2012;15530;-0,31;38167;-1,74;;
05/2012;15264;-1,71;36974;-3,13;;
06/2012;15158;-0,69;36698;-0,75;;
07/2012;15213;0,36;36094;-1,65;;
08/2012;15627;2,72;37355;3,49;;
09/2012;15573;-0,35;37833;1,28;;
10/2012;15547;-0,17;37964;0,35;;
11/2012;15470;-0,5;38822;2,26;;
12/2012;14833;-4,12;37968;-2,2;;
01/2013;14369;-3,13;38580;1,61;;
02/2013;14790;2,93;38213;-0,95;;
03/2013;15148;2,42;38642;1,12;;
04/2013;15592;2,93;38828;0,48;;
05/2013;15569;-0,15;38518;-0,8;;
06/2013;15326;-1,56;37813;-1,83;;
07/2013;15490;1,07;37886;0,19;;
08/2013;15886;2,56;38813;2,45;;
09/2013;15593;-1,84;38723;-0,23;;
10/2013;15786;1,24;39578;2,21;;
11/2013;15810;0,15;40109;1,34;;
12/2013;15321;-3,09;39755;-0,88;;
01/2014;14536;-5,12;40279;1,32;;
02/2014;15107;3,93;41653;3,41;;
03/2014;15079;-0,19;40269;-3,32;;
04/2014;15260;1,2;39591;-1,68;;
05/2014;14942;-2,08;39100;-1,24;;
06/2014;14683;-1,73;37726;-3,51;;
07/2014;14553;-0,89;37866;0,37;;
08/2014;15134;3,99;38550;1,81;;
09/2014;14974;-1,06;38894;0,89;;
10/2014;14929;-0,3;40099;3,1;;
11/2014;15255;2,18;40950;2,12;;
12/2014;14647;-3,99;39838;-2,72;;
01/2015;13756;-6,08;40757;2,31;;
02/2015;14444;5;40719;-0,09;;
03/2015;14590;1,01;39758;-2,36;;
04/2015;14639;0,34;39596;-0,41;;
05/2015;14330;-2,11;38202;-3,52;;
06/2015;14175;-1,08;37263;-2,46;;
07/2015;13953;-1,57;36816;-1,2;;
08/2015;14285;2,38;37858;2,83;;
09/2015;14001;-1,99;37841;-0,04;;
10/2015;14117;0,83;39276;3,79;;
11/2015;13873;-1,73;39224;-0,13;;
12/2015;13394;-3,45;38669;-1,41;;
01/2016;12620;-5,78;38400;-0,7;;
02/2016;13495;6,93;38727;0,85;;
03/2016;13928;3,21;39444;1,85;;
04/2016;13976;0,34;40269;2,09;;
05/2016;13940;-0,26;38648;-4,03;;
06/2016;13881;-0,42;37550;-2,84;;
07/2016;14082;1,45;37255;-0,79;;
08/2016;14235;1,09;37693;1,18;;
09/2016;14058;-1,24;38345;1,73;;
10/2016;13937;-0,86;38197;-0,39;;
11/2016;13917;-0,14;38754;1,46;;
12/2016;13529;-2,79;38780;0,07;;
01/2017;13155;-2,76;39369;1,52;;
02/2017;13456;2,29;38836;-1,35;;
03/2017;13894;3,26;40545;4,4;;
04/2017;14143;1,79;39430;-2,75;;
05/2017;13625;-3,66;38154;-3,24;;
06/2017;13985;2,64;38114;-0,1;;
07/2017;14128;1,02;37380;-1,93;;
08/2017;14301;1,22;37865;1,3;;
09/2017;14274;-0,19;39008;3,02;;
10/2017;14223;-0,36;39336;0,84;;
11/2017;14370;1,03;39826;1,25;;
12/2017;14153;-1,51;39606;-0,55;;
01/2018;13881;-1,92;40054;1,13;;
02/2018;13525;-2,56;39169;-2,21;;
03/2018;14698;8,67;41106;4,95;;
04/2018;14351;-2,36;40695;-1;;
05/2018;13811;-3,76;39263;-3,52;;
06/2018;13745;-0,48;38203;-2,7;;
07/2018;14487;5,4;38508;0,8;;
